Brief Description,Road,Project Year,City/Location,Length (miles),Functional Class,Improvement Type,AreaTypeFuncClass,Comments,xConstructionYear,State,County,Internal Project ID,GEOID,Area TypeCounty,TollType,Segment ID,Segment Description,Year of Observation,xMonth of Observation,Count,Count Units,xSource,Station Identifier,State,Traffic Forecast,Forecast Units,Forecast Year,Forecast Year Type,Year Forecast Produced,Forecasting Agency,Forecast Methodology,Post-processing Methodology,Post-processing Explanation,Count State,Opening Year,Opening Year Actual Count,PE
"SR 500 Add Lanes and Reconstruct Project from SR 25 (M.P. 0.000) to Perkins Street (M.P.
0.564)",SR 500,2007,Lake ,0.564,3,4,3,,2007,12,Lake ,238394-2A,12127,3,1,1,SR 500 – 0.200 Mi SE of SR 25 (M.P. 0.200),2007,April,25800,AADT,72 Hour Classification Count,115097,FL,27700,AADT,2010,1,2007,5,4,1,CFRPM IV Model growth rate of 2.43% was used,12,2010,25000,0.0975
SR 500 Add Lanes & Reconstruct Project SR 500 from Perkins St (M.P. 0.564) to SR 44 (M.P. 2.463).,SR 500,2006,Lake ,1.899,3,4,3,,2006,12,Lake ,238394-3,12127,3,1,1,rom Perkins St (M.P. 0.564) to SR 44 (M.P. 2.463).,2006,November,32800,AADT,72 Hour Classification Count,115093,FL,36600,AADT,2011,1,2006,5,4,1,CFRPM IV Model growth rate of 2.34% was used,12,2011,28000,0.235
"SR 500 Corridor Improvement Project from North of Griffin Rd (M.P. 4.622) to Martin
Luther King Blvd (M.P. 5.806)",SR 500,2006,Lake ,1.184,3,12,3,,2006,12,Lake ,238394-4,12127,3,1,1,from North of Griffin Rd (M.P. 4.622) to Martin Luther King Blvd (M.P. 5.806),2006,December,50500,AADT,72 Hour Classification Count,110109,FL,55400,AADT,2011,1,2006,5,5,1,Average of CFRPM IV model  of FSTUMS and Traffic Trend Analysis (1.95%) was used,12,2011,41500,0.2509
"SR 500 Add Lanes and Reconstruction Project from Dr Martin Luther King Jr Blvd (M.P. 5.806) to
North of Lake Ella Road (M.P. 9.041)",SR 500,2005,Lake ,3.235,3,4,3,,2005,12,Lake ,238395-4,12127,3,1,1,Dr Martin Luther King Jr Blvd (M.P. 5.806) to North of Lake Ella Road (M.P. 9.041),2005,December,32000,AADT,72 Hour Classification Count,115178,FL,38400,AADT,2012,1,2005,5,5,1,Average of CFRPM III model  of FSTUMS and Traffic Trend Analysis (2.86%) was used,12,2012,32500,0.1536
"SR 500 – Add Lanes & Reconstruct Project from Lake Ella Rd. (M.P. 9.041) to Avenida Central South (M.P.
11.557)",SR 500,2005,Lake ,2.516,3,4,3,,2005,12,Lake ,238395-5,12127,3,1,1,from Lake Ella Rd. (M.P. 9.041) to Avenida Central South,2005,December,37500,AADT,72 Hour Classification Count,111021,FL,40050,AADT,2007,1,2005,5,5,1,Average of CFRPM III model  of FSTUMS and Traffic Trend Analysis (2.86%) was used,12,2007,34500,0.1386
"SR 25 Add Lanes and Reconstruct Project from Boggy Marsh Rd (M.P. 3.728) to
WB Ramp to SR 50 (M.P. 14.943)",SR 25 ,2003,Lake ,11.215,3,4,1,,2003,12,Lake ,238422-1,12127,3,1,1,M.P. 3.723-11.943,2003,October,19300,AADT,72 Hour Classification Count,110310,FL,22800,AADT,2008,1,2003,5,1,1,,12,2008,37500,-0.6447
"SR 25 Add Lanes and Reconstruct Project from Boggy Marsh Rd (M.P. 3.728) to
WB Ramp to SR 50 (M.P. 14.943)",SR 25 ,2003,Lake ,11.215,3,4,3,,2003,12,Lake ,238422-1,12127,3,1,2,M.P. 11.943) to (M.P. 14.943,2003,October,28300,AADT,72 Hour Classification Count,110425,FL,33400,AADT,2008,1,2003,5,1,1,,12,2008,30000,0.1018
"SR 50 – Add Lanes and Reconstruct Project, ffrom Hancock Road/SR 25 (M.P. 15.689) to the Orange County Line
(M.P. 18.629)",SR 50 ,2006,Lake ,2.94,3,4,3,,2006,12,Lake ,238429-4,12127,3,1,1,SR 50- 0.836 Mi East of SR 25,2003,March,38000,AADT,72 Hour Classification Count,110390,FL,48600,AADT,2007,1,2001,5,4,1,CFPRM II growth rate of 4.64%,12,2007,43000,0.1152
"Add Lanes & Reconstruct Project for SR 50 begin at the Lake County Line (M.P. 0.000)
and end at the East Ramps at the Florida Turnpike (M.P. 1.400).",SR 50 ,2003,Orange ,1.4,3,4,1,,2003,12,Orange ,238429-5,12127,3,1,1,MP 0000 to MP 1.400,2003,March,42000,AADT,72 Hour Classification Count,750572,FL,49000,AADT,2007,1,2003,5,1,1,Traffic Trend Analysis growth rate of 4.02%,12,2007,52500,-0.0714
addition of lanes and reconstruction of S.R. 200 from the Citrus County Line to C.R. 484,SR 200,2002,Marion ,5.981,3,4,1,,2002,12,Marion ,238651-1,12127,3,1,1,Milepost 0.000 to Milepost 5.981,2002,January,11200,AADT,72 Hour Classification Count,360222,FL,12600,AADT,2005,1,2002,5,4,1,OATS-FSUTMS growth rate of 4.25%,12,2005,14600,-0.1587
"The SR 35 Add Lanes & Reconstruct Project from 1700’ South of SR 464 (M.P. 5.123) to SR 40
(M.P. 10.825)",SR 35 ,2006,Marion ,5.702,4,4,3,,2006,12,Marion ,238677-1,12127,3,1,1,,2006,February,16900,AADT,72 Hour Classification Count,360470,FL,18300,AADT,2009,1,2006,5,1,1,Traffic Trend Analysis growth rate of 2.84%,12,2009,18500,-0.0109
"The SR 35 Add Lanes & Reconstruct Project from 1700’ South of SR 464 (M.P. 5.123) to SR 40
(M.P. 10.825)",SR 35 ,2006,Marion ,5.702,4,4,3,,2006,12,Marion ,238677-1,12127,3,1,2,,2007,March,14400,AADT,72 Hour Classification Count,360471,FL,15600,AADT,2009,1,,5,1,1,Traffic Trend Analysis growth rate of 2.84%,12,2009,12700,0.1859
SR 40 Resurfacing Project from SR 45/US 41 (M.P. 6.600) to CR 328 (M.P. 16.363).,SR 40 ,2007,Marion ,9.763,3,1,1,,2007,12,Marion ,238720-1,12127,3,1,1,,2007,April,8600,AADT,72 Hour Classification Count,360024,FL,10600,AADT,2015,1,2007,5,5,1,Average of CFRPM IV and trend,12,2015,7900,0.2547
SR 40 Resurfacing Project from SR 45/US 41 (M.P. 6.600) to CR 328 (M.P. 16.363).,SR 40 ,2007,Marion ,9.763,3,1,1,,2007,12,Marion ,238720-1,12127,3,1,2,,2007,April,9700,AADT,72 Hour Classification Count,360030,FL,11900,AADT,2015,1,2007,5,5,1,Average of CFRPM IV and trend,12,2015,14200,-0.1933
"The SR 424 resurfacing project from Par Street (M.P. 2.272) to SR 434/Forest City Road (M.P.
4.854)",SR 424,2010,Orange ,2.582,4,1,3,,2010,12,Orange ,424899-1,12127,3,1,1,,2010,July,32200,AADT,72 Hour Classification Count,755218,FL,32500,AADT,2012,1,2010,5,5,1,A growth rate of 0.50% obtained from modifying the model growth rate slightly downward to reflect the,12,2012,31000,0.0462
"The SR 424 resurfacing project from Par Street (M.P. 2.272) to SR 434/Forest City Road (M.P.
4.854)",SR 424,2010,Orange ,2.582,4,1,3,,2010,12,Orange ,424899-1,12127,3,1,2,,2010,August,21700,AADT,72 Hour Classification Count,755211,FL,21900,AADT,2012,1,2010,5,5,1,Conservative growth rate taken to accommodate negative trend analysis growth rate,12,2012,23000,-0.0502
"The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",SR 5 (,2009,Brevard ,4.511,3,1,3,,2009,12,Brevard ,424886-1,12127,3,1,1,,2009,July,36100,AADT,72 Hour Classification Count,700249,FL,36800,AADT,2011,1,2009,5,5,1,"Conservative growth rate of 1.00% was used, since model and trend growth rate are small",12,2011,33500,0.0897
"The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",SR 5 (,2009,Brevard ,4.511,3,1,3,,2009,12,Brevard ,424886-1,12127,3,1,2,,2009,August,55300,AADT,72 Hour Classification Count,705027,FL,56400,AADT,2011,1,2009,5,5,1,"Conservative growth rate of 1.00% was used, since model and trend growth rate are small",12,2011,57000,-0.0106
The SR 35 resurfacing projectfrom SR 25/CR 25 (M.P. 0.000) to SE 96th Place Road (M.P. 1.486).,SR 35 ,2009,Marion ,1.486,4,1,3,,2009,12,Marion ,424885-1,12127,3,1,1,,2009,December,12900,AADT,72 Hour Classification Count,360468,FL,14100,AADT,2012,1,2009,5,4,1,CFRPM IV,12,2012,14500,-0.0284
The SR 50 Resurfacing Project fromthe Hernando County Line (M.P. 0.000) to SR 471 (M.P. 4.262).,SR 50 ,2009,Sumter ,4.262,3,1,1,,2009,12,Sumter ,424884-1,12127,3,1,1,,2009,October,5600,AADT,72 Hour Classification Count,180204,FL,6300,AADT,2012,1,2009,5,4,1,CFRPM IV,12,2012,5300,0.1587
The SR 35 Resurfacing Project from SR 48/CR 475 (M.P. 6.842) to South of SE 13th Avenue MP 13.157,SR 35 ,2009,Sumter ,6.315,3,1,1,,2009,12,Sumter ,424883-1,12127,3,1,1,,2009,January,5200,AADT,72 Hour Classification Count,180001,FL,5700,AADT,2011,1,2009,5,5,1,CFRPM IV,12,2011,4600,0.193
The SR 19 resurfacing projectCR 452 (M.P. 0.000) to north of Golden Gen Drive (M.P 3.816),SR 19 ,2010,Lake ,3.816,4,1,3,,2010,12,Lake ,424881-1,12127,3,1,1,,2010,May,15600,AADT,72 Hour Classification Count,111017,FL,16800,AADT,2012,1,2010,5,4,5,"growth rate of 3.90%, which is an average between the model growth rate and the BEBR population projections for this area,",12,2012,14000,0.1667
The SR 19 resurfacing projectCR 452 (M.P. 0.000) to north of Golden Gen Drive (M.P 3.816),SR 19 ,2010,Lake ,3.816,4,1,3,,2010,12,Lake ,424881-1,12127,3,1,2,,2010,May,16700,AADT,72 Hour Classification Count,115035,FL,18000,AADT,2012,1,2010,5,4,5,"growth rate of 3.90%, which is an average between the model growth rate and the BEBR population projections for this area,",12,2012,15800,0.1222
The SR 471 Traffic Signals project rom 620 ft South of CR 48 (M.P. 10.633) to 620 ft North of CR 48 (M.P. 10.867,SR 471,2009,Sumter ,0.234,4,2,1,,2009,12,Sumter ,424735-1,12127,3,1,1,,2009,July,5100,AADT,72 Hour Classification Count,181001,FL,5600,AADT,2011,1,2009,5,4,1,,12,2011,5800,-0.0357
"The SR 50 flexible pavement reconstruction project from
(M.P. 4.800) to (M.P. 5.300).",SR 50 ,2010,Sumter ,0.5,4,1,1,,2010,12,Sumter ,424524-1,12127,3,1,1,,2010,November,5500,AADT,72 Hour Classification Count,180118,FL,5800,AADT,2012,1,2010,5,4,1,,12,2012,5800,0
The SR A1A resurfacing project from Orlando Avenue (M.P. 33.999) to SR 520 (M.P. 36.148).,SR A1A,2009,Brevard ,2.149,3,1,3,,2009,12,Brevard ,423630-1,12127,3,1,1,,2009,June,38200,AADT,72 Hour Classification Count,705117,FL,39000,AADT,2011,1,2009,5,5,1,"This recommendation is based on knowledge of the project area, a review of past count data and consideration of the trends and model analyses",12,2011,30500,0.2179
The SR 9 resurfacing project from the pavement change North of SR 46 (M.P. 22.509) to the Volusia County Line (M.P. 31.190,SR 9 r,2009,Brevard ,8.681,1,1,1,,2009,12,Brevard,423567-1,12009,3,1,1,,2008,,27100,AADT,72 Hour Classification Count,700322,FL,30600,AADT,2011,1,2008,5,4,1,Average of CFRPM IV and Trend Forecast,12,2011,26524,0.1332
"The SR 93 resurfacing projectfrom South of Panasofkee Creek Bridge (M.P. 15.329) to SR 91
(Florida’s Turnpike) (M.P. 21.780)",SR 93 ,2007,Sumter ,6.451,3,1,1,,2007,12,Sumter,426566-1,12119,3,1,1,,2007,,43600,AADT,72 Hour Classification Count,189920,FL,47900,AADT,2011,1,2007,5,5,1,Average of CFRPM IV and Trend Forecast,12,2011,41424,0.1352
"The SR 500 resurfacing projectfrom East of Robinson Ave./Kansas Ave. (M.P.
7.697) to East of CR 532 (M.P. 12.745).",SR 500,2009,Osceola ,5.048,3,1,3,,2009,12,Osceola,423362-1,12097,3,1,1,M.P. 7.697 to M.P. 7.774,2009,March,45800,AADT,72 Hour Classification Count,920105,FL,47600,AADT,2011,1,2009,5,5,1,Average of CFRPM IV and Trend Forecast,12,2011,44000,0.0756
"The SR 500 resurfacing projectfrom East of Robinson Ave./Kansas Ave. (M.P.
7.697) to East of CR 532 (M.P. 12.745).",SR 500,2010,Osceola ,5.048,3,1,3,,2010,12,Osceola,423362-2,12097,3,1,2,M.P. 9.786 to M.P. 12.745,2010,April,23300,AADT,72 Hour Classification Count,920255,FL,24200,AADT,2011,1,2009,5,5,1,Average of CFRPM IV and Trend Forecast,12,2011,21500,0.1116
"The SR 11 Resurfacing Project from 0.108 Mile North of Carter Road (M.P. 1.690) to the Flagler
County Line (M.P. 14.316)",SR 11 ,2008,Volusia ,12.228,4,1,3,,2008,12,Volusia,423360-1,12127,3,1,1,,2008,May,3600,AADT,72 Hour Classification Count,790004,FL,3850,AADT,2010,1,2008,5,1,1,,12,2010,6000,-0.5584
"SR 426 Resurfacing Projectfrom Orange Co. Line (M.P. 0.000) to 138 feet west of Deep Lake
St. (M.P. 1.391)",SR 426,2007,Seminole ,1.391,4,1,3,,2007,12,Seminole,423359-1,12117,3,1,1,,2007,February,34500,AADT,72 Hour Classification Count,770175,FL,35900,AADT,2010,1,2008,5,5,1,Average of CFRPM IV and Trend Forecast,12,2010,32500,0.0947
The SR 423 Resurfacing Project from SR 50 (M.P. 3.211) to Wymore Road (M.P. 8.663).,SR 423,2008,Orange ,5.452,4,1,3,,2008,12,Orange,423356-1,12095,3,1,1,from SR 50 (M.P. 3.211) to Wymore Road (M.P. 8.663).,2008,October,44400,AADT,72 Hour Classification Count,750521,FL,45700,AADT,2011,1,2008,5,5,1,Conservative Growth rate of 1.00% was adopted,12,2011,43500,0.0481
The SR 423 Resurfacing Project from SR 50 (M.P. 3.211) to Wymore Road (M.P. 8.663).,SR 423,2008,Orange ,5.452,4,1,3,,2008,12,Orange,423356-1,12095,3,1,2,,2009,November,39500,AADT,72 Hour Classification Count,750638,FL,40700,AADT,2011,1,2008,5,5,1,Conservative Growth rate of 1.00% was adopted,12,2011,36000,0.1155
"The SR 426 Resurfacing Project from I-4 (M.P. 0.000) to 430 feet west of SR 15/SR 600 (M.P.
1.034)",SR 426,2008,Orange ,1.034,3,1,3,,2008,12,Orange,423353-1,12095,3,1,1,SR 426,2008,March,27200,AADT,72 Hour Classification Count,750565,FL,28300,AADT,2011,1,2008,5,4,1,,12,2011,36000,-0.2721
"The SR 3/Courtenay Parkway Resurfacing Project from North of Richland Avenue
(M.P. 0.903) to SR 528 (M.P. 3.386)",SR 3/C,2008,Brevard ,2.483,3,1,3,,2008,12,Brevard ,423352-1,12127,3,1,1,SR 3/Courtenay Parkway,2008,September,38500,AADT,72 Hour Classification Count,700280,FL,40800,AADT,2011,1,2008,5,1,1,,12,2011,28000,0.3137
The SR 405 Resurfacing Project from SR 50 (M.P. 0.000) to SR 5/US 1 (M.P. 4.406).,SR 405,2008,Brevard ,4.406,3,1,3,,2008,12,Brevard ,423350-1,12127,3,1,1,from SR 50 (M.P. 0.000) to SR 5/US 1 (M.P. 4.406).,2008,March,17100,AADT,72 Hour Classification Count,700429,FL,18200,AADT,2010,1,2008,5,4,1,,12,2010,,1
"The SR 326 Resurfacing Project SR 326 (M.P. 0.000) to SR 25/SR 200/US
301/US 441 (M.P. 1.674).",SR 326,2008,Marion ,1.674,3,1,3,,2008,12,Marion ,423348-1,12127,3,1,1,,2008,August,12300,AADT,72 Hour Classification Count,361002,FL,13100,AADT,2011,1,2008,5,5,1,Average of CFRPM IV and Trend Forecast,12,2011,10800,0.1756
"SR 50 Resurfacing Project from east of Lake Village Avenue (M.P. 11.289) to east of Grand Highway
(M.P. 13.918)",SR 50 ,2008,Lake ,2.629,3,1,3,,2008,12,Lake ,423347-1,12127,3,1,1,,2008,March,29000,AADT,72 Hour Classification Count,115057,FL,31100,AADT,2010,1,2008,5,5,1,Average of CFRPM IV and Trend Forecast,12,2010,25500,0.1801
"The SR 50 Resurfacing Project from Sumter County Line (M.P. 0.000) to CR 33/Bluff Lake Road
(M.P. 4.293)",SR 50 ,2008,Lake ,4.293,3,1,1,,2008,12,Lake ,423346-1,12127,3,1,1,,2008,March,8750,AADT,72 Hour Classification Count,110319,FL,9650,AADT,2011,1,2008,5,1,1,,12,2011,10600,-0.0984
"SR 33 Add Turn Lane from S. of CR 474 (M.P. 0.927) to N. of CR 474 (M.P.
1.353)",SR 33 ,2012,Lake ,0.426,4,4,1,,2012,12,Lake ,423096-1,12127,3,1,1,,2012,March,6100,AADT,72 Hour Classification Count,111000,FL,6600,AADT,2014,1,2012,5,5,1,,12,2014,6500,0.0152
"The SR 46 Resurfacing Project West of Mills Creek Bridge (M.P. 8.448) to SR 15/600/US 17-
92 (M.P. 8.929).",SR 46 ,2008,Seminole ,0.481,3,1,3,,2008,12,Seminole ,422708-1,12127,3,1,1,,2008,July,17500,AADT,72 Hour Classification Count,775050,FL,18400,AADT,2010,1,2008,5,4,1,,12,2010,16600,0.0978
"The SR 436 Resurfacing Project from East of Oxford Road (M.P. 7.729) to Cassel Creek Road (M.P.
9.297).",SR 436,2008,Seminole ,1.568,3,1,3,,2008,12,Seminole ,422707-1,12127,3,1,1,SR 436 – 0.500 Mile East of Oxford Road,2008,August,73100,AADT,72 Hour Classification Count,775078,FL,75300,AADT,2011,1,2008,5,5,1,,12,2011,73500,0.0239
"The SR 436 Resurfacing Project from East of Oxford Road (M.P. 7.729) to Cassel Creek Road (M.P.
9.297).",SR 436,2008,Seminole ,1.568,3,1,3,,2008,12,Seminole ,422707-1,12127,3,1,2,SR 436 – 0.200 Mile South of Red Bug Lake Road,2008,August,63500,AADT,72 Hour Classification Count,770271,FL,65400,AADT,2011,1,2008,5,5,1,,12,2011,60500,0.0749
"The SR 600 (US 92/International Speedway Blvd.) – add left turn lanes project east and west approaches of
the SR 600/US 92/ISB intersection at SR 5A (Nova Road) from M.P. 19.451 to M.P.19.704",SR 600,2010,Volusia ,,3,1,3,,2010,12,Volusia ,422683-1,12127,3,1,1,Site 795096-M.P. 18.875,2010,August,38600,AADT,72 Hour Classification Count,795096,FL,39400,AADT,2012,1,2010,5,2,5,Pivoted from BEBR Population Projection,12,2012,39000,0.0102
"The SR 600 (US 92/International Speedway Blvd.) – add left turn lanes project east and west approaches of
the SR 600/US 92/ISB intersection at SR 5A (Nova Road) from M.P. 19.451 to M.P.19.705",SR 600,2010,Volusia ,,3,1,3,,2010,12,Volusia ,422683-1,12127,3,1,2,Site 795099-M.P. 20.294,2010,August,28800,AADT,72 Hour Classification Count,795099,FL,24300,AADT,2012,1,2010,5,2,5,Pivoted from BEBR Population Projection,12,2012,27500,-0.1317
"The US 92/SR 600 Add Lanes & Reconstruct Design project from the I-4 Eastbound On-Ramp (MP 13.412) to the CR
415 (Tomoka Farms Road, MP 15.962).",SR 600,2011,Volusia ,2.28,3,4,3,,2011,12,Volusia ,422627-1,12127,3,1,1,MP 13.412 to MP 15.962,2010,December,22400,AADT,72 Hour Classification Count,790532,FL,23500,AADT,2013,1,2011,5,4,1,,12,2013,25000,-0.0638
"The SR 520 Resurfacing Project from west of A Lane (M.P. 5.000) to East of Lakeview Blvd (M.P.
5.500).",SR 520,2008,Brevard ,0.5,3,1,3,,2008,12,Brevard ,422567-1,12127,3,1,1,MP 5 to MP 5.5,2008,February,17300,AADT,72 Hour Classification Count,700080,FL,18400,AADT,2010,1,2008,5,4,1,,12,2010,19900,-0.0815
"The SR 438 (Silver Star Road) Add Left Turn Lane(s) project from 600 ft
west of Orange Avenue (M.P. 0.939) to 400 ft east of Orange Avenue (M.P. 1.128).",SR 438,2009,Orange ,0.189,4,4,3,,2009,12,Orange ,422223-1,12127,3,1,1,MP .939 to MP 1.128,2009,July,13300,AADT,72 Hour Classification Count,750089,FL,14000,AADT,2011,1,2009,5,2,1,,12,2011,15900,-0.1357
SR 530 Resurfacing Project from SR 400 (M.P.5.789) to Bonnet Creek Bridge (M.P. 6.724).,SR 530,2007,Osceola ,0.935,3,1,3,,2007,12,Osceola ,422033-1,12127,3,1,1,MP 5.789 to MP 6.724,2007,January,56000,AADT,72 Hour Classification Count,920300,FL,59100,AADT,2010,1,2007,5,4,1,,12,2010,58500,0.0102
The SR 5A Resurfacing Project rom Herbert St (M.P. 3.307) to North of Beville Rd (M.P. 6.174).,SR 5A ,2009,Volusia ,2.867,3,1,3,,2009,12,Volusia ,422032-1,12127,3,1,1,MP 3.307 to MP 6.174,2009,March,28300,AADT,72 Hour Classification Count,790363,FL,29500,AADT,2011,1,2009,5,5,1,Average of CFRPM 4.5 Model and Trend Analysis growth rate,12,2011,27000,0.0847
The SR 44 Resurfacing Project from Riverside Drive (M.P. 0.000) to Peninsula Avenue (M.P. 1.433),SR 44 ,2008,Volusia ,1.433,4,1,3,,2008,12,Volusia ,422031-1,12127,3,1,1,MP 0 to MP 1.433,2008,January,8500,AADT,72 Hour Classification Count,790421,FL,8700,AADT,2010,1,2008,5,4,1,,12,2010,8600,0.0115
"The SR 40 resurfacing project from South Washington Street (M.P. 0.108) to East of Beach Street
(M.P. 0.430).",SR 40 ,2010,Volusia ,0.322,3,1,3,,2010,12,Volusia ,422030-2,12127,3,1,1,MP 0108 to 0430,2010,November,36000,AADT,72 Hour Classification Count,111017,FL,36500,AADT,2012,1,2010,5,4,1,,12,2012,14000,0.6164
The SR 40 Resurfacing Project from US 1 (M.P. 0.000) to SR A1A (M.P. 1.481,SR 40 ,2007,Volusia ,1.481,3,1,3,,2007,12,Volusia ,422030-1,12127,3,1,1,MP 0 to MO 1481,2007,December,35500,AADT,72 Hour Classification Count,795128,FL,36600,AADT,2010,1,2007,5,4,1,,12,2010,19500,0.4672
The SR 44 Resurfacing Project from Lytle St (M.P. 0.000) to SR 5/US 1 (M.P. 0.934).,SR 44 ,2008,Volusia ,0.934,4,1,3,,2008,12,Volusia ,422028-1,12127,3,1,1,MP 0000 to MP 0.934,2008,January,13100,AADT,72 Hour Classification Count,790111,FL,13500,AADT,2010,1,2008,5,2,1,,12,2010,11500,0.1481
"The SR 44 Resurfacing Project from Jungle Road (M.P. 26.978) to 570 feet south of 6th Avenue (M.P.
31.310).",SR 44 ,2007,Volusia ,4.332,3,1,3,,2007,12,Volusia ,422027-1,12127,3,1,1,MP 26.978 to MP 27.494,2007,September,27100,AADT,72 Hour Classification Count,790514,FL,28500,AADT,2010,1,2007,5,4,1,,12,2010,17700,0.3789
"The SR 44 Resurfacing Project from Jungle Road (M.P. 26.978) to 570 feet south of 6th Avenue (M.P.
31.310).",SR 44 ,2007,Volusia ,4.332,3,1,3,,2007,12,Volusia ,422027-1,12127,3,1,2,MP 27.494 to MP 31.310,2007,September,25100,AADT,72 Hour Classification Count,790207,FL,26400,AADT,2010,1,2007,5,4,1,,12,2010,29500,-0.1174
"The SR 44 Resurfacing Project from Hill Ave (M.P. 6.372) to West of CR 4139/Summit Ave (M.P.
9.096)",SR 44 ,2007,Volusia ,2.724,3,1,3,,2007,12,Volusia ,422026-1,12127,3,1,1,MP 6.372 to MO 9.096,2007,June,15900,AADT,72 Hour Classification Count,790080,FL,17300,AADT,2010,1,2007,5,1,1,,12,2010,12300,0.289
"The SR 600 (US 92) Rigid Pavement Rehabilitation project from East of Clark Bay Road
(M.P. 7.200) to the end of the rigid pavement (M.P. 13.175).",SR 600,2009,Volusia ,5.975,3,1,1,,2009,12,Volusia ,422024-2,12127,3,1,1,MP 7.2 to MP 13.175,2009,September,17000,AADT,72 Hour Classification Count,790478,FL,17700,AADT,2013,1,2009,5,5,1,Conservative Growth rate of 1%,12,2013,19800,-0.1186
The SR 600 Resurfacing Project from Kepler Rd (M.P. 2.763) to I-4 (M.P. 15.444,SR 600,2007,Volusia ,12.681,3,1,3,,2007,12,Volusia ,422024-1,12127,3,1,1,MP 2.763 to MP 15.444,2007,December,13300,AADT,72 Hour Classification Count,799925,FL,14100,AADT,2010,1,2007,5,1,1,,12,2010,14006,0.0067
"SR 15 Resurfacing Project from south of Washington Ave. (M.P.17.102) to Putnam
County Line (M.P. 25.873).",SR 15 ,2007,Volusia ,8.771,3,1,1,,2007,12,Volusia ,422023-1,12127,3,1,1,MP 17.102 to MP 25.873,2007,December,5650,AADT,72 Hour Classification Count,790280,FL,6100,AADT,2010,1,2007,5,1,1,,12,2010,4500,0.2623
"The SR 15 Resurfacing Project from the Seminole County Line (M.P. 0.000) to Barwick Rd (M.P.
0.411).",SR 15 ,2007,Volusia ,0.411,3,1,1,,2007,12,Volusia ,422022-1,12127,3,1,1,MP 0 to MO .411,2007,September,23500,AADT,72 Hour Classification Count,770040,FL,25100,AADT,2010,1,2007,5,4,1,,12,2010,21500,0.1434
The SR 15 Resurfacing Project from Enterprise Road (M.P. 6.186) to SR 472 (M.P. 9.407,SR 15 ,2007,Volusia ,3.221,3,1,3,,2007,12,Volusia ,422020-1,12127,3,1,1,from Enterprise Road (M.P. 6.186) to SR 472 (M.P. 9.407,2007,August,31100,AADT,72 Hour Classification Count,790445,FL,32000,AADT,2010,1,2007,5,4,1,,12,2010,28000,0.125
"The SR 5 Resurfacing Project from Industrial Park Avenue (M.P. 20.024) to Harbor Road (M.P.
23.786)",SR 5 R,2007,Volusia ,3.762,3,1,3,,2007,12,Volusia ,422019-1,12127,3,1,1,MP 20/024 to MP 23.786,2007,August,22200,AADT,72 Hour Classification Count,795159,FL,23400,AADT,2010,1,2007,5,4,1,,12,2010,22500,0.0385
"The SR 5 Resurfacing Project rom Magnolia Avenue (M.P. 14.710) to Industrial Park Avenue (M.P.
20.024).",SR 5 R,2008,Volusia ,5.314,3,1,3,,2008,12,Volusia ,422018-1,12127,3,1,1,US-1/SR 5 – 2.00 Miles South of SR 44,2008,February,28400,AADT,72 Hour Classification Count,795168,FL,29600,AADT,2010,1,2008,5,4,1,,12,2010,28000,0.0541
"The SR 5 Resurfacing Project rom Magnolia Avenue (M.P. 14.710) to Industrial Park Avenue (M.P.
20.024).",SR 5 R,2008,Volusia ,5.314,3,1,3,,2008,12,Volusia ,422018-1,12127,3,1,2,US-1/SR 5 – 1.00 Miles North of SR 44,2008,February,24000,AADT,72 Hour Classification Count,795159,FL,25000,AADT,2010,1,2008,5,4,1,,12,2010,22500,0.1
The SR 15 Resurfacing Project from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,SR 15 ,2007,Seminole ,6.458,3,1,3,,2007,12,Seminole ,411742-1,12127,3,1,1,SR 15 – 1.200 Mi SE of Monroe Rd (M.P. 16.007),2007,May,13100,AADT,72 Hour Classification Count,770064,FL,13400,AADT,2009,1,2007,5,5,1,,12,2009,12800,0.0448
The SR 15 Resurfacing Project from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,SR 15 ,2007,Seminole ,6.458,3,1,3,,2007,12,Seminole ,411742-1,12127,3,1,2,SR 15 – 0.200 Mi S of SR 46 (M.P. 13.170),2007,May,26000,AADT,72 Hour Classification Count,775051,FL,26500,AADT,2009,1,2007,5,5,1,,12,2009,21000,0.2075
The SR 15 Resurfacing Project from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,SR 15 ,2007,Seminole ,6.458,3,1,3,,2007,12,Seminole ,411742-1,12127,3,1,3,SR 15 – 0.200 Mi N of SR 417 (M.P. 10.625),2007,May,36100,AADT,72 Hour Classification Count,770102,FL,36800,AADT,2009,1,2007,5,5,1,,12,2009,37436,-0.0173
